id,label,timeset,fan_count,category,username,users_can_post,post_activity,talking_about_count,modularity_class
1.30554E+14,NVIDIA GeForce,,2190931,Product/Service,NVIDIAGeForce,yes,0.06,12356,4
8409118252,NVIDIA,,2073090,Product/Service,NVIDIA,yes,0.06,13932,4
2.42585E+14,Batman: Year One,,606469,Movie,BatmanYearOne,no,0,226,4
1.94393E+14,X-ONE Magazine,,5495,Magazine,XONEMag,no,0,4,4
52150999700,Entertainment Weekly,,4216663,Media/News Company,entertainmentweekly,no,2.35,641286,2
12699262021,Best Buy,,7606508,Retail Company,bestbuy,yes,1.32,61019,4
16547831022,Xbox,,23062300,Product/Service,xbox,no,0.06,74802,4
1.44363E+15,DC Cartoons,,1861198,TV Show,DCCartoons,no,0,770,4
13892765435,GameSpot,,2615676,Media/News Company,GameSpot,yes,2.01,2589067,4
95872238094,GamesRadar+,,1358105,Entertainment Website,gamesradarplus,no,1.14,26190,4
1.03316E+11,Xbox: The Official Magazine,,4058075,Magazine,oxmuk,no,0.88,58779,4
1.10455E+14,GameStop,,6812467,Games/Toys,GameStop,yes,0.59,12693,4
6939574006,Batman,,13650258,Public Figure,batman,no,0.07,43631,4
1.22727E+14,Alyssa Milano,,1564017,Public Figure,AlyssaMilano,yes,0.09,78853,2
56164550360,Lea Michele,,4713091,Actor,leamichele,no,0.05,24927,6
8236753001,Josh Duhamel,,7003107,Artist,JoshDuhamel,yes,0.17,38279,6
2.14006E+14,Sarah Jessica Parker,,631149,Artist,SJPOfficial,no,0,687,6
1.47561E+14,Sofia Vergara,,9648998,Artist,OfficialSofiaVergara,no,0.04,49257,0
49581355512,Ludacris,,20434212,Musician/Band,Ludacris,no,0.22,575352,6
1.46439E+14,Katherine Heigl,,4135458,Actor,KatieHeigl,no,0.03,94207,6
7220821999,Bon Jovi,,25923786,Musician/Band,BonJovi,no,0.05,111281,6
1.76217E+11,Hard Rock Hotel & Casino Punta Cana,,150556,Beach Resort,hardrockhotelpuntacana,yes,0.1,6079,6
3.2331E+14,Hard Rock Hotel Cancun,,150493,Local Business,HRHCancun,yes,0.03,3041,6
1.57024E+14,Hard Rock Hotel Vallarta,,76984,Spa,hardrockhotelvallarta,yes,0.08,1930,6
3.69499E+11,JBL,,2168614,Electronics,JBL,yes,0.1,3319,2
87241661767,Steel Panther,,604705,Musician/Band,steelpantherkicksass,yes,0.46,13362,6
81512169979,Tom Cruise,,11634168,Public Figure,officialtomcruise,no,0,34025,2
1.46555E+14,Diego Boneta,,892802,Musician/Band,DiegoBoneta,yes,0.05,29348,6
7331041455,Julianne Hough,,881874,Public Figure,JulianneHough,yes,0.02,9679,6
5867843575,Journey,,5912527,Musician/Band,journey,no,0.04,21388,6
5243588995,Mary J. Blige,,9160781,Musician/Band,maryjblige,no,0.02,55547,6
21641548176,Russell Brand,,3734046,Comedian,RussellBrand,no,0.09,11418,2
29959324324,Rock of Ages,,110092,Other,RockofAgesMusical,yes,0.01,172,6
1.61535E+14,2 Broke Girls,,2347724,TV Show,2BrokeGirls,no,0.03,8960,2
40028693028,Sprinkles Cupcakes,,536831,Cupcake Shop,sprinkles,yes,0.08,2243,2
1.92498E+14,Looney Tunes,,6324639,TV Show,LooneyTunes,yes,0.05,42292,2
1.20538E+14,Mike & Molly,,779294,TV Show,MikeandMollyTV,no,0.01,473,2
36211311648,Two and a Half Men,,27295544,TV Show,TwoandaHalfMen,no,0.01,30713,2
1.84143E+11,Pittsburgh Post-Gazette,,109013,News/Media Website,pittsburghpostgazette,no,2.6,11703,2
22934684677,The Big Bang Theory,,32057237,TV Show,TheBigBangTheory,no,0.05,77732,2
31335717144,Fathom Events,,155327,Movie,FathomEvents,yes,0.22,51936,4
1.30782E+14,Warner Bros. Costume Department,,3570,Local Business,wbcostumedept,yes,0.01,6,2
1.06587E+11,On The Red Carpet,,27842,Media/News Company,OnTheRedCarpet,yes,0.15,175,7
38245492451,ABC7,,2217695,Broadcasting & Media Production Company,ABC7,yes,1.8,632113,3
1.13573E+14,The Flintstones,,1968945,TV Show,TheFlintstones,no,0,6082,2
1.93755E+14,The O.C.,,1344181,TV Show,TheOC,no,0.01,29442,2
1.37869E+14,The Talk,,820580,TV Show,TheTalkCBS,no,0.11,6822,2
1.04138E+14,Arrow,,8507558,TV Show,CWArrow,yes,0.04,36198,7
22577904575,FRIENDS (TV Show),,19885196,TV Show,friends.tv,no,0.02,120952,2
6687752570,The Paley Center for Media,,34298,Non-Profit Organization,PaleyCenter,no,0.09,116,2
2.13797E+14,Dallas,,1497235,TV Show,Dallas,no,0,738,2
15576613667,Fringe,,3809491,TV Show,Fringe,no,0,2246,2
2.07226E+14,Gilmore Girls,,3470521,TV Show,GilmoreGirls,no,0.02,38198,2
2.91824E+11,Pretty Little Liars,,14638351,TV Show,prettylittleliars,yes,0.77,198032,2
1.4033E+11,Scooby-Doo,,25924859,Fictional Character,scoobydoo,no,0.03,55379,2
1.51881E+14,Hanna-Barbera,,342287,Movie/Television Studio,HannaBarbera,no,0.01,3975,2
1.09293E+14,WB Word,,2103,Company,wbword,yes,0,0,2
1.23131E+11,Los Angeles Times Travel,,11792,News/Media Website,latimestravel,yes,0.03,73,6
5863113009,Los Angeles Times,,2662981,Media/News Company,latimes,no,1.37,230550,3
46092059637,California Science Center,,90551,Science Museum,CaliforniaScienceCenter,yes,0.07,6205,6
8002590959,Rainforest Action Network,,394770,Public & Government Services,rainforestactionnetwork,yes,0.15,42502,6
63677016638,IMAX,,3669098,Movie Theater,IMAX,no,0.06,125161,2
68791616148,Orangutan Foundation International,,215116,Non-Profit Organization,orangutanfoundationinternational,yes,0.03,2577,6
1.20806E+11,The David Sheldrick Wildlife Trust,,540970,Non-Profit Organization,thedswt,yes,0.1,53893,6
9.56708E+14,Justice League Movie,,1125518,Movie,JusticeLeagueOfficial,yes,0.01,35479,5
4.29023E+14,DC Films,,584800,Movie,DCFilmsOfficial,no,0,667,5
1.2451E+14,Justice League,,1242389,Fictional Character,JusticeLeague,no,0.03,2967,5
9.39734E+14,Batman,,13649316,Public Figure,frbatman,yes,0.01,154,4
8.39427E+14,Harley Quinn,,641801,Public Figure,HarleyQuinn,no,0.02,7074,4
1.7354E+14,Warner Bros Games Australia,,32992,Video Game,WBgamesAUS,yes,0.01,863,4
14408401557,Amazon Kindle,,3384915,Product/Service,kindle,yes,0.56,18985,4
1.3877E+14,Batman: The Dark Knight Returns,,1170417,Movie,BatmanTheDarkKnightReturns,no,0,900,4
62935431105,Match,,849144,Product/Service,match,yes,0.13,1628,4
1.15919E+14,MAD Magazine,,303170,Company,,yes,0.05,17940,1
4.96922E+11,NOOK,,814105,Product/Service,nook,yes,0.19,1905,1
18648183297,Newsarama,,319038,Entertainment Website,Newsarama,no,0.6,10990,4
1.55613E+11,Supergirl,,104791,Company,DC.Supergirl,yes,0,220,4
99160148471,DC Universe Online,,814558,Video Game,DCUniverseOnline,no,0.04,5403,4
1.76508E+14,Aquaman,,694885,Public Figure,aquaman,no,0.01,1074,4
1.35187E+14,All-Star Superman,,25606,Movie,AllStarSuperman,yes,0,14,4
52050093300,Green Lantern,,71335,Movie,greenlanterndvd,yes,0,42,4
1.47469E+14,The Flash,,1611741,Public Figure,theflash,no,0.03,7336,4
6281148998,Superman,,7417992,Public Figure,superman,no,0.05,10412,4
3.37437E+11,Wonder Woman,,1277955,Public Figure,wonderwoman,no,0.04,5650,4
8358503595,Green Lantern,,1472242,Public Figure,greenlantern,no,0.02,2619,4
2.17615E+11,DC Collectibles,,325334,Company,DCCollectibles,no,0.02,1820,4
43611144216,Vertigo Comics,,222366,Publisher,vertigocomics,no,0.05,804,4
68890225353,Zuda Comics,,4288,Website,zudacomics,no,0,4,4
7826703627,Harold and Kumar Escape From Guantanamo Bay,,513056,Movie,HaroldandKumarEscape,no,0,396,2
7.39376E+14,Lee Pace,,174423,Artist,,no,0,716,4
34329506713,100% Pure New Zealand,,2541589,Local/Travel Website,purenewzealand,yes,0.15,49294,4
1.73508E+11,Air New Zealand,,1408645,Travel Company,AirNewZealandUSA,yes,0.03,8249,4
2.07887E+14,Luke Evans,,1342562,Artist,LukeEvansFans,yes,0.05,55931,4
5.17155E+14,Jed Brophy,,11094,Artist,,yes,0.01,15,4
4.07551E+14,Evangeline Lilly Official,,407409,Artist,,yes,0.03,21949,4
1.80115E+11,Andy Serkis,,423104,Artist,,yes,0.01,320,4
1.49265E+11,Ian McKellen,,5023416,Actor,ianmckellen,yes,0.03,49554,4
6425769820,TheOneRing.net,,240456,Entertainment Website,TheOneRingnet,yes,0.1,13332,4
78709352302,Weta Workshop,,251818,Movie/Television Studio,WetaWorkshop,no,0.02,2681,4
1.17195E+14,Legendary,,1182283,Media/News Company,legendary,no,0.06,14586,2
1.06184E+14,Emma Stone,,1473720,Public Figure,,no,0,0,2
1.07625E+14,Steve Carell,,1582107,Interest,,no,0,0,2
1.42731E+14,The LEGO Movie,,1994900,Movie,TheLEGOMovie,no,0,887,2
4.66295E+14,Getaway,,349624,Movie,GetawaytheMovie,no,0,403,0
2.20221E+14,We're the Millers,,748217,Movie,WeretheMillers,no,0,700,2
1.04377E+11,Harry Potter LatinoamÃ©rica,,1201706,Movie,HarryPotterpaginaoficialparaLatinoamerica,no,0,723,0
1.08449E+14,Warner Bros. Pictures,,26708385,Movie/Television Studio,WarnerBrosPicturesLatinoamerica,no,0.13,341368,0
3.36346E+14,Trouble With The Curve,,148094,Movie,TroubleWithTheCurve,no,0,199,2
2.02035E+14,Gangster Squad,,514942,Movie,GangsterSquad,no,0,595,2
3.60553E+14,The Campaign,,292159,Movie,thecampaignmovie,no,0,286,2
55549065733,Voto Latino,,242897,Non-Profit Organization,votolatino,no,0.37,33551,0
1.31459E+14,Terra Entretenimiento,,7485,Website,TerraEntretUS,yes,0,13,0
2.3551E+14,Magic Mike,,2331640,Movie,magicmikemovie,no,0,4196,2
2.33914E+11,Adam Rodriguez,,272584,Artist,adamrodriguez,yes,0.03,963,2
1.88021E+14,Dulce Candy,,924204,Public Figure,,yes,0.03,7915,0
2.07213E+14,TuTele,,886,TV Network,WeAreTutele,yes,0,0,0
1.62546E+14,Planet Pit,,65876,News/Media Website,planetpit,no,0,49,0
1.64202E+14,Dark Shadows,,2443098,Movie,darkshadowsmovie,no,0,2099,2
2.0562E+14,The Lucky One,,2717628,Movie,TheLuckyOneMovie,yes,0,3566,2
30776016407,George Lopez,,9910845,Comedian,GeorgeLopez,no,0.11,183630,0
1.52912E+14,Edward James Olmos,,22793,Public Figure,EdwardJOlmos,no,0,17,0
1.41848E+14,Pan's Labyrinth,,870536,Movie,PansLabyrinthMovie,yes,0,917,2
1.32561E+11,San Diego Latino Film Festival,,24126,Non-Profit Organization,latinofilm,yes,0.11,225,3
2.22346E+14,Michael PeÃ±a,,6677,Artist,,yes,0,11,0
5170395767,Jennifer Lopez,,45428571,Musician/Band,jenniferlopez,no,0.02,76055,0
1.10829E+14,Luis Guzman (Official Fan Page),,2804,Artist,,yes,0,2,0
1.78752E+14,So Mexican,,2184697,Entertainment Website,SoMexican,yes,0.05,182642,0
2.64261E+14,Mi Familia,,226983,Movie,MiFamiliaMovie,no,0,312,0
2.8511E+14,Stand and Deliver,,86986,Movie,StandAndDeliverMovie,no,0,133,2
1.62459E+14,Selena Movie,,1088637,Movie,SelenaTheMovie,no,0,1842,0
1.65714E+14,Journey 2: The Mysterious Island,,1088322,Movie,journey2themysteriousisland,no,0,662,0
1.17672E+14,Extremely Loud & Incredibly Close,,209695,Movie,extremelyloudandincrediblyclose,no,0,203,2
1.36589E+14,Project X,,1467836,Movie,projectx,no,0,1256,2
1.10889E+14,Wrath of the Titans,,1064784,Movie,WrathOfTheTitans,no,0,617,2
84213402434,Sherlock Holmes,,9847850,Movie,SherlockHolmesMovie,no,0,34165,2
1.91829E+14,LatinoScoop,,22293,Entertainment Website,LatinoScoop,yes,0.1,513,0
3.83234E+11,Popular Hispanics,,3509,Entertainment Website,PopularHispanics,yes,0,3,6
1.01443E+14,Teresa Garza/checalamovie,,6976,Entertainment Website,CLMovie,no,0.01,8,0
1.00705E+11,Being Latino,,4987930,Society/Culture Website,BeingLatino,no,0.51,299060,0
1.0084E+11,SpanglishBaby,,125593,Teens/Kids Website,spanglishbaby,yes,0.02,672,0
3.64182E+11,"Alpha Sigma Omega Latina Sorority, Inc. Enticing Eta Chapter at NIU",,770,Non-Profit Organization,ASOLSIEnticingEtaChapter,yes,0.03,49,0
2.42359E+11,Be Chic Mag,,5188,Website,BeChicMag,yes,0.03,226,0
1.49926E+14,Danny Trejo,,4225326,Actor,officialdannytrejo,yes,0.15,46472,0
2.8191E+14,"Gamma Alpha Omega Sorority, Inc. Omicron Chapter at NAU",,552,Non-Profit Organization,GAO.Omicron,yes,0.02,1,0
3.44562E+11,HBSA at ASU,,1422,Local Business,HBSAatASU,yes,0.04,35,0
1.11273E+11,"Gamma Alpha Omega Sorority, Inc. Rho Chapter @ CSUN",,864,Non-Profit Organization,,yes,0,1,0
1.07119E+14,"Gamma Alpha Omega Sorority, Inc., Alpha Chapter at ASU",,953,College & University,gaoasu,yes,0,3,0
71688438535,"Phi Iota Alpha Fraternity, Inc. - Texas A&M Colony.",,499,Non-Profit Organization,,yes,0,0,0
1.34784E+11,Phi Mu Alpha - Iota Rho,,829,Non-Profit Organization,PhiMuAlphaIP,yes,0.01,40,0
1.28041E+11,"The University Of Hartford Colony, Phi Iota Alpha Fraternity Inc.",,460,Non-Profit Organization,,yes,0,1,0
1.69032E+11,"Phi Iota Alpha Fraternity, Inc- Epsilon Chapter (Binghamton University)",,676,Community,,yes,0,1,0
1.13431E+14,"Nu Chapter of Phi Iota Alpha Fraternity, Inc.",,931,Non-Profit Organization,BostonPhiotas,yes,0.01,8,0
94830615662,"Phi Iota Alpha Fraternity, Inc. -  UTSA Chapter",,670,Non-Profit Organization,,yes,0,2,0
1.1089E+14,LSU Phiotas - Alpha Alpha Chapter of Phi Iota Alpha,,793,Organization,lsu.phiota,yes,0,1,0
6139797337,"Phi Iota Alpha Fraternity, Inc.",,3374,Non-Profit Organization,PhiIotaAlpha,yes,0.03,8,0
2.10287E+14,"Omega Delta Phi Fraternity, Inc.- Alpha Sigma Chapter",,719,Non-Profit Organization,illiknights,yes,0.01,24,0
2.18899E+14,NU Omega Delta Phi,,545,Non-Profit Organization,nuodphi,yes,0.02,69,0
1.44261E+14,Omega Delta Phi - Washington State University,,1293,Organization,WSUODPhi,yes,0.03,75,0
1.50553E+14,Omega Delta Phi ETA Chapter - SHSU,,583,Non-Profit Organization,,yes,0,1,0
1.07662E+11,Omega Delta Phi Chi Chapter,,729,Local Business,,yes,0,0,0
1.37637E+11,Omega Delta Phi Alpha Alumni Association,,633,Non-Profit Organization,OmegaDeltaPhiAlphaAlumniAssociation,yes,0,0,0
2.00547E+11,Omega Delta Phi-UTSA Alpha Delta Chapter,,592,Non-Profit Organization,,yes,0,1,0
24993025645,Epsilon Sigma Alpha - ESA,,3900,Community Organization,EpsilonSigmaAlpha,yes,0.02,66,0
1.36368E+14,USD Lambda Chi Alpha,,681,Organization,usdlambdachialpha,yes,0,3,0
1.06946E+14,Ball State Lambda Chi Alpha,,842,Local Business,BallStateLambdaChi,yes,0,4,0
3.2701E+11,Lambda Chi Alpha-Tarleton State,,850,Non-Profit Organization,,yes,0,3,0
3.34067E+11,Lambda Chi Alpha at UCSD,,1440,Non-Profit Organization,ucsdlxa,yes,0,15,0
1.47212E+14,Lambda Chi Alpha - USCA,,335,Company,,yes,0,0,0
1.28016E+14,Lambda Chi Alpha - Purdue,,437,Local Business,PurdueLambdaChi,yes,0,0,0
11784977743,Lambda Chi Alpha,,1303,Organization,,yes,0,4,0
43482674057,Lambda Chi Alpha Fraternity,,25502,Education,LambdaChi,yes,0.04,324,0
73966508743,Lambda Chi Alpha-Pi Epsilon Zeta,,506,Non-Profit Organization,UIWLXA,yes,0,1,0
1.0657E+14,Sigma Theta Psi Multicultural Sorority at USD,,685,Community,USDSigmaThetaPsi,yes,0.01,40,0
1.07537E+11,"Sigma Theta Psi Sorority, Inc.",,894,Non-Profit Organization,SigmaThetaPsi,yes,0,1,0
2.76064E+11,Sigma Lambda Gamma-XB National Sorority Inc.,,109,Non-Profit Organization,,yes,0,0,0
3.45183E+11,"Sigma Lambda Gamma National Sorority, Inc.'s UNSTOPPABLE Î¥Î“ Chapter @ UW",,974,Community,,yes,0,1,0
1.2819E+14,Sigma Lambda Gamma National Sorority Inc.  Beta Gamma Chapter,,547,Non-Profit Organization,SLG.BG,yes,0.03,20,0
1.51961E+11,Sigma Lambda Gamma National Sorority Inc. Chi Gamma Chapter,,1572,College & University,SLGChiGamma,yes,0.04,75,0
2.75687E+11,Sigma Theta Psi Sorority Alpha Chapter: SDSU,,700,Non-Governmental Organization (NGO),STPAlphaChapter,yes,0.01,7,0
3.30622E+11,Sigma Lambda Beta Int'l Fraternity @ Boise State University (Î¤Î“),,667,Community,BoiseStateBetas,yes,0.01,22,0
3.21739E+11,"Sigma Lambda Beta International Fraternity, Inc.-Iota Chapter",,1157,Non-Profit Organization,IOTA.EMPIRE,yes,0,5,0
1.04166E+11,UW Betas,,714,Non-Profit Organization,SLB.PhiBeta,yes,0.04,19,0
1.65636E+14,"Sigma Lambda Beta International Fraternity, Inc. Epsilon Delta Chapter",,500,Community,SLBEpsilonDelta,yes,0.01,5,0
1.98086E+11,Sigma Lambda Beta International Fraternity Inc.  MIGHTY XI Chapter,,1252,Non-Profit Organization,uicbetas,yes,0.01,127,0
1.61182E+11,Sigma Lambda Beta International Fraternity Inc. - Kappa Alpha Chapter,,1386,Organization,SLB.KA,yes,0.03,4,0
1.01501E+16,Sigma Lambda Beta International Fraternity Inc. - Theta Chapter,,603,Non-Profit Organization,,yes,0,9,0
1.24613E+14,Beta Gamma Nu Fraternity @ USC,,428,Community,,yes,0,1,0
3.22155E+11,Beta Gamma Nu @ Cal State Northridge,,1399,Community,,yes,0,3,0
1.14195E+14,Beta Gamma Nu Fraternity @ LMU,,431,Community,,yes,0,0,0
1.30753E+14,Beta Gamma Nu at San Diego State,,477,College & University,,yes,0,0,0
1.36047E+14,"Nu Alpha Kappa Fraternity, Inc. at SSU (Gamma Chapter)",,349,Non-Profit Organization,sonomanak,no,0,1,0
1.28715E+14,Nu Alpha Kappa Fraternity - Iota Chaper Alumni Association,,128,Non-Profit Organization,,yes,0,1,0
1.19931E+11,"Nu Alpha Kappa Fraternity, Inc. at UNLV (Upsilon Chapter)",,1106,Community Organization,unlvnak,yes,0,9,0
2.82278E+11,Nu Alpha Kappa Fraternity Pi Chapter Cal State Northridge,,970,Non-Profit Organization,NAKcsun,yes,0,1,0
94384028886,"Nu Alpha Kappa- SDSU, Beta Chapter",,915,Organization,NAKsdsu,yes,0,2,0
3.16744E+11,Gamma Zeta Alpha Fraternity Inc. Iota Chapter,,760,Local Business,stanfordgammas,yes,0,5,0
2.81208E+11,"SoÃ±adoras Unidas, Official Interest Group of Alpha Pi Sigma Sorority, Inc.",,386,Community,,yes,0,2,0
98302563133,Sigma Pi Alpha Sorority Inc.,,623,Non-Profit Organization,,yes,0,1,0
83966367095,"Alpha Pi Sigma Sorority, Inc.",,1239,Non-Profit Organization,alphapisigma,yes,0.01,3,0
1.18995E+14,Alpha Pi Sigma- Alpha Chapter,,515,Non-Profit Organization,aps.sdsu,yes,0.01,3,0
1.07526E+14,Lambda Theta Phi,,859,Organization,,no,0,0,0
1.00727E+14,Kappa Delta Sorority - Alpha Chi Chapter,,886,Non-Profit Organization,latechkappadelta,yes,0.01,1,0
1.26592E+14,Kappa Delta Chi DFW Alumnae Chapter,,391,Non-Profit Organization,,yes,0,1,0
1.68934E+14,KDChi Beta Alpha Chapter,,814,Community Organization,uiuc.kappadeltachi,yes,0.01,57,0
1.29721E+11,Kappa Delta Chi - Epsilon Chapter,,1077,Non-Profit Organization,kdxepsilon,yes,0.01,13,0
31666221809,"Kappa Delta Chi Sorority, Inc.",,4256,Non-Profit Organization,kappadeltachi,yes,0.01,627,0
1.08974E+11,Kappa Delta Chi - UTSA Chi Chapter,,879,Non-Profit Organization,,yes,0,2,0
1.63885E+11,Omega Delta Phi - Beta Chapter,,1078,Non-Profit Organization,ODPhiBeta,yes,0,1,0
75707304132,"Sigma Lambda Gamma National Sorority, Inc.",,6514,Non-Profit Organization,SigmaLambdaGamma,yes,0.01,985,0
2.6008E+14,Sigma Lambda Gamma- Upsilon Beta,,405,Non-Profit Organization,SLGUpsilonBeta,yes,0.01,42,0
1.25679E+11,Sigma Lambda Beta - Kappa Gamma Chapter,,780,Non-Profit Organization,csunbetas,yes,0,4,0
